state,hasc,adm0_a3,_id,type,fips,capital,iso_a2,name,lng,lat
TX,US.TX.WM,USA,USA-TX-48491,County,48491,Georgetown,US,"Williamson, Texas",-97.63386012604542,30.6819705
UT,US.UT.TE,USA,USA-UT-49045,County,49045,Tooele,US,"Tooele, Utah",-113.11109495992616,40.481218
UT,US.UT.UN,USA,USA-UT-49047,County,49047,Vernal,US,"Uintah, Utah",-109.5138618613168,40.0144415010101
UT,US.UT.WA,USA,USA-UT-49051,County,49051,Heber City,US,"Wasatch, Utah",-111.1335384410922,40.2953275
VT,US.VT.OA,USA,USA-VT-50017,County,50017,Chelsea,US,"Orange, Vermont",-72.43754734354351,43.998658500000005
VA,US.VA.AB,USA,USA-VA-51003,County,51003,Charlottesville,US,"Albemarle, Virginia",-78.5762302807127,37.9015555
VA,US.VA.AH,USA,USA-VA-51009,County,51009,Amherst,US,"Amherst, Virginia",-79.15964508311069,37.5976475
VA,US.VA.BA,USA,USA-VA-51017,County,51017,Warm Springs,US,"Bath, Virginia",-79.74018259303492,38.0524955
VA,US.VA.BO,USA,USA-VA-51023,County,51023,Fincastle,US,"Botetourt, Virginia",-79.76495609831935,37.562580999999994
VA,US.VA.CI,USA,USA-VA-51033,County,51033,Bowling Green,US,"Caroline, Virginia",-77.36297073473193,38.0148655
VA,US.VA.CP,USA,USA-VA-51047,County,51047,Culpeper,US,"Culpeper, Virginia",-77.98952477809387,38.4953035
VA,US.VA.GL,USA,USA-VA-51073,County,51073,Gloucester,US,"Gloucester, Virginia",-76.57559551789134,37.4232655
VA,US.VA.GY,USA,USA-VA-51077,County,51077,Independence,US,"Grayson, Virginia",-81.23873557842253,36.68526
VA,US.VA.JA,USA,USA-VA-51095,County,51095,Williamsburg,US,"James City, Virginia",-76.8048194005997,37.3206505
VA,US.VA.KA,USA,USA-VA-51097,County,51097,King and Queen Court House,US,"King and Queen, Virginia",-76.8572050112839,37.7005345
VA,US.VA.LD,USA,USA-VA-51107,County,51107,Leesburg,US,"Loudoun, Virginia",-77.66534457174465,39.095141
VA,US.VA.LN,USA,USA-VA-51111,County,51111,Lunenburg,US,"Lunenburg, Virginia",-78.24394439558195,36.9511475
VA,US.VA.MO,USA,USA-VA-51121,County,51121,Christiansburg,US,"Montgomery, Virginia",-80.37044958261345,37.1670295
VA,US.VA.NK,USA,USA-VA-51127,County,51127,New Kent,US,"New Kent, Virginia",-76.98014441704908,37.497231
VA,US.VA.PA,USA,USA-VA-51139,County,51139,Luray,US,"Page, Virginia",-78.49264289832263,38.6160005
VA,US.VA.RB,USA,USA-VA-51163,County,51163,Lexington,US,"Rockbridge, Virginia",-79.44195233052905,37.808173999999994
VA,US.VA.SA,USA,USA-VA-51175,County,51175,Courtland,US,"Southampton, Virginia",-77.09240284758354,36.772312
VA,US.VA.SF,USA,USA-VA-51179,County,51179,Stafford,US,"Stafford, Virginia",-77.4749909500974,38.421596
VA,US.VA.WG,USA,USA-VA-51191,County,51191,Abingdon,US,"Washington, Virginia",-81.97503525215717,36.736076
VA,US.VA.WI,USA,USA-VA-51195,County,51195,Wise,US,"Wise, Virginia",-82.62938245716595,36.997271999999995
WA,US.WA.PA,USA,USA-WA-53049,County,53049,South Bend,US,"Pacific, Washington",-123.6285196036311,46.526841000000005
WA,US.WA.SG,USA,USA-WA-53057,County,53057,Mount Vernon,US,"Skagit, Washington",-121.76391114592263,48.4810605
WA,US.WA.SN,USA,USA-WA-53061,County,53061,Everett,US,"Snohomish, Washington",-121.69547669484706,48.035899
WA,US.WA.YA,USA,USA-WA-53077,County,53077,Yakima,US,"Yakima, Washington",-120.64590007794983,46.564386999999996
WV,US.WV.BE,USA,USA-WV-54003,County,54003,Martinsburg,US,"Berkeley, West Virginia",-78.02484708131561,39.444070499999995
WV,US.WV.BX,USA,USA-WV-54007,County,54007,Sutton,US,"Braxton, West Virginia",-80.74551438690769,38.6928685
