name,area,popall,popcity,companies,worker,industry_comp,big_comp,xzjd,coords,lng,lat
吴川市兰石镇,3315,34875.0,8391.0,22.0,183.0,2.0,2.0,吴川市兰石镇,POINT (110.8167168249202 21.51646483562696),110.81671682492018,21.516464835626962
茂南区金塘镇,10443,70980.0,4210.0,1534.0,2500.0,48.0,12.0,茂南区金塘镇,POINT (110.8355387542622 21.76008738869381),110.83553875426219,21.760087388693808
茂南区公馆镇,10360,69201.0,2963.0,295.0,7145.0,142.0,15.0,茂南区公馆镇,POINT (110.8075506898269 21.68187057944392),110.8075506898269,21.681870579443917
茂南区新坡镇,2479,34180.0,7126.0,390.0,5180.0,360.0,16.0,茂南区新坡镇,POINT (110.8975695999437 21.69017059942013),110.89756959994371,21.690170599420128
茂南区镇盛镇,5959,56570.0,56570.0,57.0,733.0,47.0,5.0,茂南区镇盛镇,POINT (110.8381150511171 21.61013878880132),110.83811505111714,21.61013878880132
茂南区鳌头镇,5476,74597.0,2955.0,94.0,2653.0,92.0,2.0,茂南区鳌头镇,POINT (110.8644868502994 21.55409033454237),110.86448685029939,21.55409033454237
茂南区袂花镇,2559,41809.0,2129.0,122.0,1135.0,86.0,2.0,茂南区袂花镇,POINT (110.9251253196719 21.59611778418277),110.92512531967186,21.59611778418277
茂南区高山镇,1219,20115.0,3290.0,1658.0,18020.0,157.0,5.0,茂南区高山镇,POINT (110.8917498549944 21.63471190513363),110.8917498549944,21.63471190513363
茂南区山阁镇,4474,32709.0,986.0,89.0,3633.0,53.0,14.0,茂南区山阁镇,POINT (110.9271295056254 21.74800921651497),110.92712950562536,21.74800921651497
高州市谢鸡镇,10320,57363.0,4255.0,23.0,597.0,13.0,5.0,高州市谢鸡镇,POINT (110.9874027750093 21.92131608292469),110.98740277500933,21.92131608292469
高州市新垌镇,16816,57382.0,1792.0,124.0,1461.0,28.0,3.0,高州市新垌镇,POINT (111.08634523766 21.93724248339505),111.08634523766,21.93724248339505
高州市云潭镇,8491,44009.0,3150.0,168.0,5700.0,49.0,4.0,高州市云潭镇,POINT (111.1703984095814 21.91215117641829),111.17039840958138,21.91215117641829
高州市分界镇,6660,40849.0,2680.0,208.0,6334.0,49.0,6.0,高州市分界镇,POINT (110.9529682597351 21.79343435042053),110.95296825973514,21.793434350420526
高州市根子镇,8700,56367.0,6491.0,178.0,3104.0,21.0,5.0,高州市根子镇,POINT (111.0440450741993 21.81409408378155),111.04404507419929,21.81409408378155
高州市泗水镇,7600,47923.0,3902.0,22.0,497.0,18.0,2.0,高州市泗水镇,POINT (110.9630068354171 21.85420748849731),110.96300683541706,21.854207488497313
高州市镇江镇,10100,39523.0,2160.0,46.0,1380.0,23.0,9.0,高州市镇江镇,POINT (110.6974077313312 21.83784030542664),110.69740773133124,21.837840305426635
高州市沙田镇,9800,34632.0,2384.0,60.0,1392.0,9.0,4.0,高州市沙田镇,POINT (110.6908094945328 21.93230916879756),110.69080949453277,21.932309168797563
